Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Police,POLICE OFFICER,Police Benevolent Association (PBA),71701.3,0.0,12710.67,101206.15,2018/10/15 00:00:00+00,0.0,
Health Services,DRUG COUNSELOR,Association of Municipal Employees (AME-White Collar),76323.58,2250.0,6861.73,90891.73,1999/08/16 00:00:00+00,0.0,
Traffic Violations Bureau,ACCOUNTANT TRAINEE,Association of Municipal Employees (AME-White Collar),13015.2,0.0,0.0,13015.2,2022/04/25 00:00:00+00,0.0,2022/08/12 00:00:00+00
"Labor, License & Consumer Affairs",SR WEIGHTS & MEASURE INSP,Association of Municipal Employees (AME-White Collar),90693.2,2250.0,1225.68,98822.3,1999/04/19 00:00:00+00,0.0,
Police,CAPTAIN (POLICE),Superior Officers Association (SOA),207317.9,19825.0,11609.01,277502.83,1991/10/21 00:00:00+00,0.0,
Police,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),74536.0,1250.0,28479.62,114434.8,2008/07/07 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),65656.39,1250.0,0.0,67767.81,2009/09/28 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),107375.18,4600.0,10491.39,142254.42,2014/12/15 00:00:00+00,0.0,
Medical Examiners Office,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),45416.0,0.0,8158.77,54164.19,2015/03/30 00:00:00+00,0.0,
Sheriff,JAIL COOK,Association of Municipal Employees (AME-Blue Collar),74693.8,2250.0,16982.49,101999.53,2001/09/04 00:00:00+00,0.0,
Sheriff,PUBLIC SAFETY DISPATCHER I,Association of Municipal Employees (AME-White Collar),49923.04,0.0,4755.62,59022.68,2021/05/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,861.25,0.0,0.0,861.25,2022/05/01 00:00:00+00,0.0,
Parks,LABORER,Association of Municipal Employees (AME-Blue Collar),48000.9,2250.0,435.03,53461.35,1997/07/01 00:00:00+00,0.0,
County Executive,SENIOR NEIGHBORHOOD AIDE,Association of Municipal Employees (AME-White Collar),49154.61,0.0,0.0,49848.03,2015/06/15 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),17624.1,0.0,0.0,17624.1,2022/09/06 00:00:00+00,0.0,2022/08/02 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1350.0,45112.61,163724.39,2013/03/18 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),56197.33,0.0,18335.11,79658.59,2019/01/14 00:00:00+00,0.0,
Police,ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),1541.0,0.0,0.0,1541.0,2022/12/12 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF II,Deputy Sheriffs PBA (DSPBA),125322.53,3250.0,100018.14,240053.13,2002/04/22 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1489.38,0.0,0.0,1489.38,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM II,Association of Municipal Employees (AME-White Collar),47368.79,0.0,0.0,48105.21,2017/09/11 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM V,Association of Municipal Employees (AME-White Collar),116492.21,2600.0,0.0,125033.63,1990/01/22 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),84669.1,17250.0,54472.28,375599.11,1992/09/08 00:00:00+00,185371.8,2022/07/23 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),67785.63,18400.0,42825.06,303729.41,1989/02/13 00:00:00+00,125377.2,2022/07/08 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,2750.0,37228.42,164261.97,2006/01/30 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,402.0,0.0,0.0,402.0,2016/09/10 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,663.75,0.0,0.0,663.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,26209.57,141685.61,2016/10/03 00:00:00+00,0.0,
District Attorney,AUDIO,Association of Municipal Employees (AME-White Collar),98205.6,2250.0,0.0,105482.02,2000/11/06 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),190266.96,15525.0,20292.43,250885.41,1994/06/29 00:00:00+00,0.0,
Police,SR GRANTS ANALYST,Association of Municipal Employees (AME-White Collar),84711.79,2250.0,3270.4,94655.61,2002/11/18 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,622.5,0.0,0.0,622.5,2022/09/01 00:00:00+00,0.0,
Police,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),46183.4,0.0,476.02,47294.84,2013/04/15 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,2750.0,36642.25,160985.68,2003/11/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,848.75,0.0,0.0,848.75,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,818.75,0.0,0.0,818.75,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER II,Correction Officers Association (COA),126361.73,1350.0,60986.78,202067.6,2013/03/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2742.5,0.0,0.0,2742.5,2022/05/01 00:00:00+00,0.0,
Medical Examiners Office,MORGUE AMBULANCE DRIVER,Association of Municipal Employees (AME-Blue Collar),63576.4,1250.0,48294.98,114365.8,2012/10/09 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),70272.5,0.0,13258.2,105014.68,2018/10/15 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",GOVT LIAISON OFFICER,Association of Municipal Employees (AME-White Collar),106952.6,2250.0,0.0,113804.02,2002/01/07 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,845.0,0.0,0.0,845.0,2022/05/01 00:00:00+00,0.0,
Police,LIEUTENANT (POLICE),Superior Officers Association (SOA),192775.9,17825.0,34040.24,273099.48,1991/10/21 00:00:00+00,0.0,
Information Technology Service,DEPUTY COMM OF INFO TECHNOLOGY,Management,157378.2,0.0,0.0,160022.62,2018/03/14 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,11072.5,0.0,0.0,11072.5,2021/02/22 00:00:00+00,0.0,2022/11/21 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),54982.13,0.0,25182.37,86582.09,2019/01/14 00:00:00+00,0.0,
Police,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),46315.9,1733.33,0.0,63852.65,1992/06/16 00:00:00+00,12763.58,2022/09/29 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1162.5,0.0,0.0,1162.5,2022/05/01 00:00:00+00,0.0,
Medical Examiners Office,FORENSIC SCIENTIST I,Association of Municipal Employees (AME-White Collar),83700.8,1250.0,5432.64,94826.86,2008/02/19 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Temp,768.75,0.0,0.0,768.75,2022/08/08 00:00:00+00,0.0,2022/09/02 00:00:00+00
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),87002.0,1750.0,12491.84,105848.26,2003/09/15 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM III,Association of Municipal Employees (AME-White Collar),90693.22,2250.0,0.0,97593.64,2000/12/11 00:00:00+00,0.0,
Health Services,EMERGENCY MED SVCS OFFICR,Association of Municipal Employees (AME-White Collar),951.6,-183.33,293.04,63290.51,1999/06/01 00:00:00+00,58593.64,2021/12/30 00:00:00+00
Police,SCHOOL CROSSING GUARD (Temporary),Temp,185.0,0.0,0.0,185.0,2022/01/03 00:00:00+00,0.0,2022/01/04 00:00:00+00
Social Services,OFFICE ASSISTANT,Temp,5587.5,0.0,0.0,5587.5,2022/04/18 00:00:00+00,0.0,2022/09/28 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,9200.0,19097.13,203886.63,2006/09/11 00:00:00+00,0.0,
Parks,SENIOR LIFEGUARD,Smith Point Lifeguard Association,11922.01,0.0,128.25,12050.26,2022/04/25 00:00:00+00,0.0,2022/09/23 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),70272.5,0.0,15738.15,102804.83,2018/10/15 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),133818.1,16100.0,72855.64,257921.14,2002/04/22 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),11712.78,0.0,78.75,12812.85,2021/04/14 00:00:00+00,0.0,
Health Services,TRANSPORTATION COORD,Association of Municipal Employees (AME-White Collar),27216.0,0.0,0.0,27328.42,2022/08/01 00:00:00+00,0.0,
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,10510.0,0.0,669.75,11179.75,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),63526.8,0.0,4427.86,84324.74,2019/09/09 00:00:00+00,0.0,
County Clerk,OFFICE ASSISTANT,Temp,6019.0,-212.5,0.0,23040.48,2022/04/18 00:00:00+00,10850.76,2021/12/29 00:00:00+00
"Labor, License & Consumer Affairs",COMMUNITY ORGNZTN SPCLST,Association of Municipal Employees (AME-White Collar),98205.6,2250.0,0.0,105443.02,2001/03/26 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),52542.93,0.0,11457.14,69325.53,2018/10/15 00:00:00+00,0.0,
Health Services,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),36104.79,0.0,0.0,36217.21,1998/07/13 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),78670.27,0.0,6514.07,103252.12,2014/06/02 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,854.01,0.0,0.0,854.01,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),67412.93,1350.0,18305.66,93148.52,2016/12/26 00:00:00+00,0.0,
District Attorney,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),34991.4,0.0,0.0,35103.82,2019/09/23 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER II,Association of Municipal Employees (AME-Blue Collar),58343.4,1750.0,15754.18,79180.0,2005/11/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12650.0,23105.68,204721.18,2000/09/18 00:00:00+00,0.0,
Probation,PROBATION ASSISTANT,Association of Municipal Employees (AME-White Collar),41275.92,0.0,0.0,41388.34,2022/01/10 00:00:00+00,0.0,
Parks,CONTRACTS EXAMINER,Association of Municipal Employees (AME-White Collar),67526.8,1750.0,1732.13,74534.35,2006/04/10 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,350.0,0.0,0.0,350.0,2020/03/02 00:00:00+00,0.0,
Health Services,ASST PUBL HLTH ENGR TRNEE,Association of Municipal Employees (AME-White Collar),25498.0,0.0,0.0,25610.42,2022/07/18 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,652.5,0.0,0.0,652.5,2022/05/01 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),136716.7,11500.0,53706.41,258229.73,2002/11/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,22409.02,132261.06,2016/10/03 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1845.0,0.0,0.0,1845.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,847.5,0.0,0.0,847.5,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",NEIGHBORHOOD AIDE,Association of Municipal Employees (AME-White Collar),39180.65,0.0,268.45,39561.52,2021/07/12 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),162061.2,16675.0,33603.34,233770.94,1993/03/29 00:00:00+00,0.0,
Health Services,ASST PUB HEALTH ENGINEER,Association of Municipal Employees (AME-White Collar),61189.4,0.0,31823.79,93125.61,2020/06/19 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,7475.0,44514.7,232614.9,2010/06/28 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,3702.5,0.0,0.0,3702.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,610.26,0.0,0.0,610.26,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9593.61,0.0,1329.42,11959.95,2022/09/19 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),157861.88,10925.0,33481.31,223699.59,2003/10/20 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER III,Correction Officers Association (COA),84676.16,4250.0,30604.27,257554.65,1988/09/19 00:00:00+00,119198.44,2022/07/29 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),157086.0,6325.0,37650.43,224600.63,2011/12/26 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH SANITARIAN,Association of Municipal Employees (AME-White Collar),55263.45,0.0,386.33,55762.2,2020/05/11 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),16805.89,0.0,278.58,18709.69,2014/10/15 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,CMGT,665.0,0.0,0.0,665.0,2022/05/01 00:00:00+00,0.0,2017/04/06 00:00:00+00
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),29233.91,1875.0,290.47,35090.11,2000/10/17 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),82300.78,0.0,11730.92,112351.09,2017/10/03 00:00:00+00,0.0,
Law,WORKERS' COMP CLAIMS EXAMINER,Association of Municipal Employees (AME-White Collar),68591.18,1750.0,415.28,74347.88,2003/12/29 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.79,1250.0,0.0,68792.21,2010/01/04 00:00:00+00,0.0,
Audit & Control,PRINCIPAL ACCOUNTANT,Association of Municipal Employees (AME-White Collar),109992.4,2250.0,0.0,117935.82,2002/08/19 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,12075.0,21096.51,203137.01,2001/06/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1702.5,0.0,0.0,1702.5,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),53790.4,0.0,4137.0,72360.56,2019/01/14 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,37529.07,156768.6,2011/04/25 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),72760.3,0.0,9086.31,106018.0,2016/12/26 00:00:00+00,0.0,
Health Services,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60657.0,2600.0,880.02,67324.44,1989/06/26 00:00:00+00,0.0,
County Executive,DIR OF OFFICE FOR PEOPLE W DIS,Association of Municipal Employees (AME-White Collar),121626.0,2600.0,0.0,130414.42,1988/10/31 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER II,Correction Officers Association (COA),123554.53,1950.0,48312.72,185150.5,2010/01/25 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),41969.53,0.0,16496.27,64232.59,2017/01/17 00:00:00+00,1292.63,
Health Services,ASSOC PUB HLTH SANITARIAN,Association of Municipal Employees (AME-White Collar),111540.39,2400.0,4350.5,123975.31,1993/10/09 00:00:00+00,0.0,
Soil & Water Conservation District,SOIL DISTRICT TECHNICIAN,Association of Municipal Employees (AME-White Collar),31161.51,0.0,0.0,31273.93,2022/04/18 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT (SPANISH SPK),Association of Municipal Employees (AME-White Collar),34058.92,0.0,96.57,34267.91,2021/01/26 00:00:00+00,0.0,
Health Services,SR PUBLIC HLTH SANITARIAN,Association of Municipal Employees (AME-White Collar),64005.29,1312.5,0.0,123519.99,2002/07/22 00:00:00+00,53846.71,2022/08/30 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1530.0,0.0,0.0,1530.0,2022/05/01 00:00:00+00,0.0,
Parks,LABOR CREW LEADER,Association of Municipal Employees (AME-Blue Collar),60664.0,1750.0,2516.69,68333.11,2004/10/25 00:00:00+00,0.0,
Law,PR ASSISTANT COUNTY ATTY,Management,110842.81,0.0,0.0,112382.23,2017/09/25 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,937.5,0.0,0.0,937.5,2022/01/31 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),64253.1,0.0,16646.59,103726.77,2018/10/15 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,2700.0,0.0,0.0,2700.0,2022/06/06 00:00:00+00,0.0,2022/07/17 00:00:00+00
Sheriff,CORRECTION OFFICER II,Correction Officers Association (COA),0.0,3750.0,0.0,115576.07,1997/05/05 00:00:00+00,51203.84,2022/05/26 00:00:00+00
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),160763.6,16675.0,25536.94,226737.36,2001/06/04 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),151222.58,12075.0,117505.01,308857.99,2011/12/26 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,622.5,0.0,0.0,622.5,2022/09/01 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,9990.0,0.0,0.0,9990.0,2023/01/07 00:00:00+00,0.0,2022/12/23 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,1050.0,0.0,0.0,1050.0,2022/10/19 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,11606.5,0.0,0.0,11606.5,2022/10/17 00:00:00+00,0.0,2022/10/02 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1257.5,0.0,0.0,1257.5,2022/05/01 00:00:00+00,0.0,
Social Services,SOC SER EXAM I (SP SPKG),Association of Municipal Employees (AME-White Collar),60660.3,1750.0,643.68,66913.4,2004/11/22 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER II (INVEST),Correction Officers Association (COA),133236.73,2750.0,61836.17,233436.79,2000/10/02 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,992.5,0.0,0.0,992.5,2022/05/01 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,18400.0,45052.15,259301.41,1989/02/13 00:00:00+00,0.0,
Health Services,REGISTERED NURSE,Association of Municipal Employees (AME-White Collar),76344.39,2250.0,0.0,82529.81,1999/12/27 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,2425.0,0.0,0.0,2425.0,2022/10/28 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),46229.1,0.0,605.67,53613.38,2021/12/06 00:00:00+00,0.0,
Police,SENIOR OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),39121.19,0.0,233.75,39934.36,2018/01/29 00:00:00+00,0.0,
Social Services,CASEWORK SUPERVISOR,Association of Municipal Employees (AME-White Collar),94358.41,2250.0,0.0,101441.83,2000/05/22 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,928.75,0.0,0.0,928.75,2022/09/01 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH FELLOW II,Association of Municipal Employees (AME-White Collar),29006.6,0.0,0.0,29119.02,2022/06/13 00:00:00+00,0.0,
Social Services,CHILD SUPPORT SPCLST II,Association of Municipal Employees (AME-White Collar),79769.41,2250.0,0.0,86129.83,2002/07/15 00:00:00+00,0.0,
Probation,PROBATION SUPERVISOR,Probation Officers Association (POA),112937.57,2250.0,0.0,123306.09,2002/06/03 00:00:00+00,0.0,
District Attorney,ASST DISTRICT ATTY,Management,0.0,0.0,0.0,5021.5,2019/08/21 00:00:00+00,5021.5,2021/09/18 00:00:00+00
Civil Service,EXAMINER III (PT),Temp,1873.0,0.0,0.0,1873.0,2022/03/26 00:00:00+00,0.0,
"Fire, Rescue & Emergency Svcs",COMM EMERG EVACUATN COORD,Association of Municipal Employees (AME-White Collar),59938.6,0.0,8867.92,68918.94,2019/08/04 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,4350.0,0.0,0.0,4350.0,2022/10/17 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2100.0,0.0,0.0,2100.0,2021/07/06 00:00:00+00,0.0,
Health Services,CHEMIST III,Association of Municipal Employees (AME-White Collar),111540.42,1750.0,0.0,118987.84,2003/09/02 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),17312.79,375.0,0.0,47354.14,1998/03/23 00:00:00+00,26709.35,2022/03/30 00:00:00+00
County Executive,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60656.99,1750.0,120.93,65675.34,2007/12/31 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,11500.0,2702.78,189792.28,2002/11/12 00:00:00+00,0.0,
Social Services,OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),29603.9,1020.83,0.0,41128.73,2006/05/15 00:00:00+00,8005.92,2022/07/31 00:00:00+00
Social Services,SOCIAL SERVICES EXAM II,Association of Municipal Employees (AME-White Collar),68591.19,1250.0,15143.51,85861.12,2009/11/02 00:00:00+00,0.0,
County Executive,ASSISTANT BUDGET DIRECTOR,Association of Municipal Employees (AME-White Collar),118387.41,1750.0,49408.85,179416.18,2003/07/28 00:00:00+00,3461.5,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2990.0,0.0,0.0,2990.0,2022/05/01 00:00:00+00,0.0,
Audit & Control,PRINCIPAL ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),62590.0,0.0,7654.77,71067.19,2009/09/15 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,4110.0,0.0,0.0,4110.0,2022/04/24 00:00:00+00,0.0,2022/06/04 00:00:00+00
Medical Examiners Office,DEP MED EXAM,Association of Municipal Employees (AME-White Collar),5004.59,0.0,0.0,44090.44,2015/03/30 00:00:00+00,38195.02,2022/01/03 00:00:00+00
Board Of Elections,ELECTION INSPECTOR,Temp,621.25,0.0,0.0,621.25,2022/11/01 00:00:00+00,0.0,
Law,PR ASSISTANT COUNTY ATTY,Management,120727.4,2600.0,0.0,134634.82,1988/03/14 00:00:00+00,0.0,
Parks,EMERGENCY MEDICAL TECHNICIAN,Temp,11870.0,0.0,0.0,11870.0,2022/05/23 00:00:00+00,0.0,2022/10/09 00:00:00+00
Law,HUMAN RIGHTS INVESTIGATOR,Association of Municipal Employees (AME-White Collar),37603.5,937.5,0.0,43582.29,2000/07/17 00:00:00+00,1275.11,2022/06/23 00:00:00+00
Parks,EMERGENCY MEDICAL TECHNICIAN,Temp,12085.0,0.0,0.0,12085.0,2022/05/23 00:00:00+00,0.0,2022/10/09 00:00:00+00
District Attorney,RESEARCH TECHNICIAN,Association of Municipal Employees (AME-White Collar),50016.8,0.0,2959.78,53681.0,2015/09/28 00:00:00+00,0.0,
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,13259.38,0.0,282.0,13541.38,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,11316.5,0.0,564.0,11880.5,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,11251.0,0.0,967.5,12218.5,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,11201.0,0.0,0.0,11201.0,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,6688.63,0.0,0.0,6688.63,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,12768.0,0.0,1057.5,13825.5,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,ASSISTANT CHIEF LIFEGUARD,,14887.64,0.0,1755.0,16642.64,2023/03/06 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,14577.13,0.0,387.75,14964.88,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,CHIEF LIFEGUARD,,22859.29,0.0,1256.92,24116.21,2023/01/30 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,13384.5,0.0,528.75,13913.25,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,7176.25,0.0,0.0,7176.25,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,SENIOR LIFEGUARD,Smith Point Lifeguard Association,16158.76,0.0,0.0,16158.76,2022/07/11 00:00:00+00,0.0,2022/09/23 00:00:00+00
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,10022.38,0.0,165.0,10187.38,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Public Works,SR WASTEWATER TRT PLT OP (3A),Association of Municipal Employees (AME-Blue Collar),33550.81,1750.0,3061.36,42501.59,2006/10/24 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),83167.6,1250.0,0.0,85486.02,2011/08/15 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER III,Association of Municipal Employees (AME-Blue Collar),63942.0,2250.0,11495.58,81480.0,2000/04/17 00:00:00+00,0.0,
District Attorney,SENIOR ASST DISTRICT ATTY,Management,86400.25,0.0,0.0,87829.67,2013/08/29 00:00:00+00,0.0,
